mjd,mean_rv,sem_rv
211.89885709911366,-31902.5940,3579.4680
236.08918191896038,-5052.8854,2757.3260
245.08315624137862,8618.6931,1768.7071
932.4299759164941,8371.9689,2362.8475
1013.5110296623482,-69551.0311,1663.0250
1260.315373595174,64025.0101,4668.3330
1316.7784391475404,79829.2660,1998.6996
1545.277563430283,-92067.7141,1590.6839
1716.7390041392,57491.6362,3338.8986
1834.5114821930042,55605.6831,3303.9156
1954.1702481419431,-63085.3282,2829.3605
2405.756298972822,-45148.3950,4029.1622
2411.722454322658,-47460.1256,2340.6743
2677.9965186468335,70916.4905,3089.1195
2728.1310924582094,86720.7464,3468.0272
2771.184457146682,66515.7940,6919.8530
3185.754736354893,86541.6931,1786.2555
3197.6889572209375,84409.0158,1001.2492
3204.1795824046535,84162.2916,4006.1496
3517.2952806416015,-38615.0211,3789.3017
3729.466906447483,55179.9057,3736.0860
3817.1753315473657,-40568.6452,2525.3080
4001.4137205452084,-27322.8442,1688.6729
4029.3505702397024,-2673.4839,1790.8630
4062.925468532283,44313.5061,2221.7174
4111.442036109317,79829.2660,1998.6996
4182.489797165185,68783.8132,1149.2654
4392.8347638671785,-89688.3126,1167.0373
4556.334885191831,57738.3604,2511.4920
4691.357245390382,41934.1046,1496.6683
